categoria;nombre;descripcion;precio;;;;;;;;;;;;;;;;;;;;;;
Identificadores de mascotas;Identificador mascota - CHICO;"Mirá las imagenes, elegí el modelo y color. Al finalizar confirmar el carrito te pediremos esa info.  (cosultar imagen de colores disponibles)
Demora de fabricación entre 3 a 5 días hábiles ";3000;;;;;;;;;;;;;;;;;;;;;;
Identificadores de mascotas;Identificador mascota - MEDIANO;"Mirá las imagenes, elegí el modelo y color. Al finalizar confirmar el carrito te pediremos esa info.  (cosultar imagen de colores disponibles)
Demora de fabricación entre 3 a 5 días hábiles ";3500;;;;;;;;;;;;;;;;;;;;;;
Identificadores de mascotas;Identificador mascota - GRANDE;"Mirá las imagenes, elegí el modelo y color. Al finalizar confirmar el carrito te pediremos esa info.  (cosultar imagen de colores disponibles)
Demora de fabricación entre 3 a 5 días hábiles ";5000;;;;;;;;;;;;;;;;;;;;;;
Identificadores de mascotas;Identificador tipo pasador ;"Elegí el color y medí el ancho de la correa del collar. Al finalizar confirmar el carrito te pediremos esa info. (cosultar imagen de colores disponibles)
Demora de fabricación entre 3 a 5 días hábiles ";5000;;;;;;;;;;;;;;;;;;;;;;
Llaveros;Llavero Escolar;"Llavero de base rectangular. Personalizalo con nombre y apellido, o solo nombre. Elegi la combinacion de colores que mas te guste (cosultar imagen de colores disponibles)
Demora de fabricación entre 3 a 5 días hábiles ";2500;;;;;;;;;;;;;;;;;;;;;;
Llaveros;Llavero Escolar Promo x 2;"PROMO X 2 Llavero de base rectangular. Personalizalo con nombre y apellido, o solo nombre. Elegi la combinacion de colores que mas te guste (cosultar imagen de colores disponibles)
Demora de fabricación entre 3 a 5 días hábiles ";4500;;;;;;;;;;;;;;;;;;;;;;
Llaveros;Llavero simple;"Consulta modelos disponibles
Demora de fabricación entre 3 a 5 días hábiles ";2500;;;;;;;;;;;;;;;;;;;;;;
Llaveros;Promo x2 llaveros simples;"Consulta modelos disponibles
Demora de fabricación entre 3 a 5 días hábiles ";4000;;;;;;;;;;;;;;;;;;;;;;
Llaveros;Llavero giratorio;"Consulta modelos disponibles
Demora de fabricación entre 3 a 5 días hábiles ";3500;;;;;;;;;;;;;;;;;;;;;;
Llaveros;Llavero San Javier  - Estatua Indio;"Recuerdo de San Javier
Demora de fabricación entre 3 a 5 días hábiles ";3500;;;;;;;;;;;;;;;;;;;;;;
Llaveros;Llavero San Javier;"Recuerdo de San Javier
Demora de fabricación entre 3 a 5 días hábiles ";2000;;;;;;;;;;;;;;;;;;;;;;
Llaveros;Abre garrafa ;"A vos tambien te pasa que no podes sacar el tapón del gas? Ruwaq te trae la solución!
Demora de fabricación entre 3 a 5 días hábiles ";5000;;;;;;;;;;;;;;;;;;;;;;
Llaveros;Llavero - defensa personal ;"Ideal para caminar por las calles con confianza y seguridad! Elegí el modelo y tamańo que qieras (consultar imagen colores disponibles)
Demora de fabricación entre 3 a 5 días hábiles ";6500;;;;;;;;;;;;;;;;;;;;;;
Llaveros;Llaveros personalizados;"Podes encargar uno o muchos! Los descuentos se realizan a partir de 10, 25 o 50 unidades
Demora de fabricación entre 3 a 5 días hábiles ";10;;;;;;;;;;;;;;;;;;;;;;
Llaveros;Medallas personalizados;"Podes encargar una o muchas! Los descuentos se realizan a partir de 10, 25 o 50 unidades
Demora de fabricación entre 3 a 5 días hábiles ";10;;;;;;;;;;;;;;;;;;;;;;
Llaveros;llavero fantasmita fluor;;4000;;;;;;;;;;;;;;;;;;;;;;
Llaveros;desptador/ abre lata;;3000;;;;;;;;;;;;;;;;;;;;;;
Llaveros;Llavero Pez;Pintados  a mano por artista loca y resinados. Elegí el pez que prefieras una vez confirmado el carrito;7000;;;;;;;;;;;;;;;;;;;;;;
Adornos para tortas;Topper ;"Mirá todos los modelos disponiblre, elegí el que mas te guste, personalizalo con el color que quieras! (Consultar imagen de colores disponibes)
Demora de fabricación entre 3 a 5 días hábiles ";7500;;;;;;;;;;;;;;;;;;;;;;
Adornos para tortas;Topper personalizado;"Observá algunos de los toppers para  tortas personalizados que ya hemos hecho e inspirate para pedirnos el tuyo! puede ser frontal o superior, puede tener texto o un persoanje, o también ser una combinación de ambos ! 
Demora de fabricación entre 3 a 5 días hábiles ";10;;;;;;;;;;;;;;;;;;;;;;
Lectura;Marcadores de hojas - simples;"Divertidos marcadores de libros
Demora de fabricación entre 3 a 5 días hábiles ";2500;;;;;;;;;;;;;;;;;;;;;;
Lectura;Marcadores de hojas - complejos;"Divertidos marcadores de libros
Demora de fabricación entre 3 a 5 días hábiles ";3500;;;;;;;;;;;;;;;;;;;;;;
Lectura;Marcadores de hojas - simples x3;"Divertidos marcadores de libros
Demora de fabricación entre 3 a 5 días hábiles ";6000;;;;;;;;;;;;;;;;;;;;;;
Lectura;Abre libros;"Mantené el tu libro de lectura abierto con una sola mano!
Demora de fabricación entre 3 a 5 días hábiles ";5000;;;;;;;;;;;;;;;;;;;;;;
Didácticos;Letras 110 - piezas;"Incluye 3 set abecedario + 6 set vocales
Demora de fabricación entre 3 a 5 días hábiles ";32000;;;;;;;;;;;;;;;;;;;;;;
Didácticos;Letras 69 - piezas;"Incluye 2 set abecedario + 3 set vocales
Demora de fabricación entre 3 a 5 días hábiles ";20000;;;;;;;;;;;;;;;;;;;;;;
Didácticos;Numeletras 114 - piezas;"Incluye: 2 set abecedario + 3 set vocales +  4 set del 0 al + 2 set signos matematicos
Demora de fabricación entre 3 a 5 días hábiles ";32000;;;;;;;;;;;;;;;;;;;;;;
Didácticos;Números 50 - piezas;"Incluye 4 set del 0 al + 2 set signos matematicos
Demora de fabricación entre 3 a 5 días hábiles ";17000;;;;;;;;;;;;;;;;;;;;;;
Didácticos;Mini pizarra borrable;"Lamina Plastificada borrable - Tamańo A5
Demora de fabricación entre 3 a 5 días hábiles ";6000;;;;;;;;;;;;;;;;;;;;;;
Didácticos;Accesorio compas (con compas PIZINI);"
Demora de fabricación entre 3 a 5 días hábiles ";7450;;;;;;;;;;;;;;;;;;;;;;
Didácticos;Regla espaciadora;"Material didáctico - escolar. Color Personalizable
Demora de fabricación entre 3 a 5 días hábiles ";3800;;;;;;;;;;;;;;;;;;;;;;
Didácticos;Regla guia lectura (con deslizador);"Material didáctico - escolar. Color Personalizable
Demora de fabricación entre 3 a 5 días hábiles ";3200;;;;;;;;;;;;;;;;;;;;;;
Didácticos;Valor posicional x6 unidades;"Ideal para aprender el valor de cada numero según su posición. Color Personalizable
Demora de fabricación entre 3 a 5 días hábiles ";11500;;;;;;;;;;;;;;;;;;;;;;
Didácticos;Valor posicional x3 unidades;"Ideal para aprender el valor de cada numero según su posición. Color Personalizable
Demora de fabricación entre 3 a 5 días hábiles ";6300;;;;;;;;;;;;;;;;;;;;;;
Didácticos;Plantilla valor posicional;"Plantilla para marcar sobre hoja
Demora de fabricación entre 3 a 5 días hábiles ";4500;;;;;;;;;;;;;;;;;;;;;;
Didácticos;Regla mayor menor;"Regla deslizable. Ideal para aprender los valores con respecto al cero. Color Personalizable
Demora de fabricación entre 3 a 5 días hábiles ";7000;;;;;;;;;;;;;;;;;;;;;;
Didácticos;Regla alto contraste;"Ideal para personas con disminución visual. Color Personalizable
Demora de fabricación entre 3 a 5 días hábiles ";4000;;;;;;;;;;;;;;;;;;;;;;
Didácticos;Plantillas multiplicacion x 1 digito;"Plantilla para marcar sobre hoja
Demora de fabricación entre 3 a 5 días hábiles ";7900;;;;;;;;;;;;;;;;;;;;;;
Didácticos;Plantillas multiplicacion x 2 digitos;"Plantilla para marcar sobre hoja
Demora de fabricación entre 3 a 5 días hábiles ";12000;;;;;;;;;;;;;;;;;;;;;;
Didácticos;Tabla pitagorica;"Aprender las tablas de multiplicar de manera mas simpe
Demora de fabricación entre 3 a 5 días hábiles ";12000;;;;;;;;;;;;;;;;;;;;;;
Didácticos;Spin matematico;"Prácticá operaciones matemáticas facilmente! Gira y arma la operación que quieras, después encontrá el resultado!
Demora de fabricación entre 3 a 5 días hábiles ";16800;;;;;;;;;;;;;;;;;;;;;;
Didácticos;Grips;"Engrosadores para lapices, meoran el agarre y manejo del mismo. Dispoibles varios diseńos y tamańos. Material semi flexible agradable al tacto
Demora de fabricación entre 3 a 5 días hábiles ";10;;;;;;;;;;;;;;;;;;;;;;
Didácticos;Accesorio lapiz- dedos ocupados;"Mantené tus dedos ocupados y concentrate en lo que estas haciendo. 
Demora de fabricación entre 3 a 5 días hábiles ";4500;;;;;;;;;;;;;;;;;;;;;;
Juegos;Equilibristas grande;"x 12 unidades - 7 cm alto
Demora de fabricación entre 3 a 5 días hábiles ";15000;;;;;;;;;;;;;;;;;;;;;;
Juegos;Equilibristas chico;"x 12 unidades - 4 cm alto
Demora de fabricación entre 3 a 5 días hábiles ";9000;;;;;;;;;;;;;;;;;;;;;;
Juegos;Tangram  - chico;"Divertite recreando las figuras del tangram o creá las tuyas propias! Desafiá a tus amigos y divertite jugando!
Demora de fabricación entre 3 a 5 días hábiles ";4500;;;;;;;;;;;;;;;;;;;;;;
Juegos;Tangram - grande;"Divertite recreando las figuras del tangram o creá las tuyas propias! Desafiá a tus amigos y divertite jugando!
Demora de fabricación entre 3 a 5 días hábiles ";6500;;;;;;;;;;;;;;;;;;;;;;
Juegos;Balanceados Gatitos;"Quien logrará poner mas piezas venciendo la gravedad y el elqulibrio?
Demora de fabricación entre 3 a 5 días hábiles ";15000;;;;;;;;;;;;;;;;;;;;;;
Juegos;Balanceados Geométricos;"Quien logrará poner mas piezas venciendo la gravedad y el elqulibrio?
Demora de fabricación entre 3 a 5 días hábiles ";15000;;;;;;;;;;;;;;;;;;;;;;
Juegos;Balanceados Tetris;"Quien logrará poner mas piezas venciendo la gravedad y el elqulibrio?
Demora de fabricación entre 3 a 5 días hábiles ";15000;;;;;;;;;;;;;;;;;;;;;;
Juegos;Spirografo - Mandalas;"Creá infinitas mandalas, combinalas coores y distinates formas!
Demora de fabricación entre 3 a 5 días hábiles ";8500;;;;;;;;;;;;;;;;;;;;;;
Juegos;Cubo 3x3;"Cubo tipo Tetris, lograrás armar el cubo nuevamnete?
Demora de fabricación entre 3 a 5 días hábiles ";6500;;;;;;;;;;;;;;;;;;;;;;
Juegos;Cubo 4x4;"Cubo tipo Tetris, lograrás armar el cubo nuevamnete?
Demora de fabricación entre 3 a 5 días hábiles ";7500;;;;;;;;;;;;;;;;;;;;;;
Juegos;Auto a propulsión;"Infla el globo y a rodar! Incluye globo
Demora de fabricación entre 3 a 5 días hábiles ";5000;;;;;;;;;;;;;;;;;;;;;;
Juegos;Barco a propulsión;Infla el globo y a navegar! Incluye globo;4000;;;;;;;;;;;;;;;;;;;;;;
Juegos;Rompecabeza Espiral;"Podrás volver a armar el cuadrado?
Demora de fabricación entre 3 a 5 días hábiles ";5500;;;;;;;;;;;;;;;;;;;;;;
Juegos;Ta Te Tri;"Divertite jugando a esta reversion de Ta Te Ti
Demora de fabricación entre 3 a 5 días hábiles ";22000;;;;;;;;;;;;;;;;;;;;;;
Flexi-juguetes;Esqueleto ;;6000;;;;;;;;;;;;;;;;;;;;;;
Flexi-juguetes;Lagartija grande;;5000;;;;;;;;;;;;;;;;;;;;;;
Flexi-juguetes;Lagartija chica;;4000;;;;;;;;;;;;;;;;;;;;;;
Flexi-juguetes;Murcielago;;2500;;;;;;;;;;;;;;;;;;;;;;
Flexi-juguetes;Mono;;4500;;;;;;;;;;;;;;;;;;;;;;
Flexi-juguetes;Rana - chica;;5000;;;;;;;;;;;;;;;;;;;;;;
Flexi-juguetes;Rana - grande;;8500;;;;;;;;;;;;;;;;;;;;;;
Flexi-juguetes;Dino Rex;;4500;;;;;;;;;;;;;;;;;;;;;;
Flexi-juguetes;carpincho chico;;3000;;;;;;;;;;;;;;;;;;;;;;
Flexi-juguetes;carpincho;;4000;;;;;;;;;;;;;;;;;;;;;;
Flexi-juguetes;cangrejo;;4500;;;;;;;;;;;;;;;;;;;;;;
Luz matera;Ilumimate - plano;Cebar mates de noche nunca fué tan fácil! Confeccionada en material semiflexible le permite adaptarse a los diferentes tamańos de bombillas planas - Incluye pila;8500;;;;;;;;;;;;;;;;;;;;;;
Luz matera;Ilumimate - ovalado;Cebar mates de noche nunca fué tan fácil! Confeccionada en material semiflexible le permite adaptarse a los diferentes tamańos de bombillas redondas, se adapta hasta 1 cm de diametro - Incluye pila;8500;;;;;;;;;;;;;;;;;;;;;;
Luz matera;Ilumimate - redondo;Cebar mates de noche nunca fué tan fácil! Confeccionada en material semiflexible le permite adaptarse a los diferentes tamańos de bombillones gruesos - Incluye pila;8500;;;;;;;;;;;;;;;;;;;;;;
Calcos;Calcos - Catalogo en pdf;Accede al catálogo online en el siguiente link:https://acrobat.adobe.com/id/urn:aaid:sc:US:724818e0-c2af-4056-9c12-3831192d6a3a;100;;;;;;;;;;;;;;;;;;;;;;
Calcos;Planchita 10 x 15 aprox;;3500;;;;;;;;;;;;;;;;;;;;;;
Calcos;Planchita 12 x 18 aprox;;4500;;;;;;;;;;;;;;;;;;;;;;
Calcos;Panchita 20x 16 aprox;;5000;;;;;;;;;;;;;;;;;;;;;;
Calcos;Atrapasoles;Atrapan la luz del sol y la convierten en arcoiris!;10;;;;;;;;;;;;;;;;;;;;;;
Calcos;Calcos Fotoluminiscentes;Brillan en la oscuridad!;10;;;;;;;;;;;;;;;;;;;;;;
Calcos;Calcos Personalizadas;;10;;;;;;;;;;;;;;;;;;;;;;
Varios;Traba cinto 1u;;4000;;;;;;;;;;;;;;;;;;;;;;
Varios;Traba cinto x 2 unidades;;7000;;;;;;;;;;;;;;;;;;;;;;
Varios;Soporte celular - Plegable;;10;;;;;;;;;;;;;;;;;;;;;;
Varios;Soporte tabler - Plegable;;10;;;;;;;;;;;;;;;;;;;;;;
Varios;Soporte celu -  multiposicional;;10;;;;;;;;;;;;;;;;;;;;;;
Varios;porta cepillos dientes x 1 unidad;material semiflexible;3000;;;;;;;;;;;;;;;;;;;;;;
Varios;porta cepillos dientes x 2 unidades;material semiflexible;5000;;;;;;;;;;;;;;;;;;;;;;
Personalizados;Cortantes;;10;;;;;;;;;;;;;;;;;;;;;;
Personalizados;Llaveros;;10;;;;;;;;;;;;;;;;;;;;;;
Personalizados;Adornos para tortas;;10;;;;;;;;;;;;;;;;;;;;;;
Personalizados;Calcos Personalizadas;;10;;;;;;;;;;;;;;;;;;;;;;
Productos de apoyo y ayudas técnicas;Engrosador para cubierto;;10;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
